symbol,company_name,exchange,tradingview_symbol,ibkr_symbol,ibkr_sectype,ibkr_exchange,ibkr_currency,sector,industry,index_membership,liquidity_tier,cik
AAPL,Apple Inc.,NASDAQ,NASDAQ:AAPL,AAPL,STK,ISLAND,USD,Information Technology,"Technology Hardware, Storage & Peripherals","S&P 500, NASDAQ 100, Dow Jones 30",Tier 1 - S&P 500,320193
ABNB,"Airbnb, Inc.",NASDAQ,NASDAQ:ABNB,ABNB,STK,ISLAND,USD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","S&P 500, NASDAQ 100",Tier 1 - S&P 500,1559720
ACGL,ARCH CAPITAL GROUP LTD.,NASDAQ,NASDAQ:ACGL,ACGL,STK,ISLAND,USD,Financials,Property & Casualty Insurance,S&P 500,Tier 1 - S&P 500,947484
ADBE,ADOBE INC.,NASDAQ,NASDAQ:ADBE,ADBE,STK,ISLAND,USD,Information Technology,Application Software,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,796343
ADI,ANALOG DEVICES INC,NASDAQ,NASDAQ:ADI,ADI,STK,ISLAND,USD,Information Technology,Semiconductors,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,6281
ADP,AUTOMATIC DATA PROCESSING INC,NASDAQ,NASDAQ:ADP,ADP,STK,ISLAND,USD,Industrials,Human Resource & Employment Services,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,8670
ADSK,"Autodesk, Inc.",NASDAQ,NASDAQ:ADSK,ADSK,STK,ISLAND,USD,Information Technology,Application Software,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,769397
AEP,AMERICAN ELECTRIC POWER CO INC,NASDAQ,NASDAQ:AEP,AEP,STK,ISLAND,USD,Utilities,Electric Utilities,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,4904
AKAM,AKAMAI TECHNOLOGIES INC,NASDAQ,NASDAQ:AKAM,AKAM,STK,ISLAND,USD,Information Technology,Internet Services & Infrastructure,S&P 500,Tier 1 - S&P 500,1086222
ALGN,ALIGN TECHNOLOGY INC,NASDAQ,NASDAQ:ALGN,ALGN,STK,ISLAND,USD,Health Care,Health Care Supplies,S&P 500,Tier 1 - S&P 500,1097149
AMAT,APPLIED MATERIALS INC /DE,NASDAQ,NASDAQ:AMAT,AMAT,STK,ISLAND,USD,Information Technology,Semiconductor Materials & Equipment,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,6951
AMD,ADVANCED MICRO DEVICES INC,NASDAQ,NASDAQ:AMD,AMD,STK,ISLAND,USD,Information Technology,Semiconductors,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,2488
AMGN,AMGEN INC,NASDAQ,NASDAQ:AMGN,AMGN,STK,ISLAND,USD,Health Care,Biotechnology,"S&P 500, NASDAQ 100, Dow Jones 30",Tier 1 - S&P 500,318154
AMZN,AMAZON COM INC,NASDAQ,NASDAQ:AMZN,AMZN,STK,ISLAND,USD,Consumer Discretionary,Broadline Retail,"S&P 500, NASDAQ 100, Dow Jones 30",Tier 1 - S&P 500,1018724
APA,APA Corp,NASDAQ,NASDAQ:APA,APA,STK,ISLAND,USD,Energy,Oil & Gas Exploration & Production,S&P 500,Tier 1 - S&P 500,1841666
APP,AppLovin Corp,NASDAQ,NASDAQ:APP,APP,STK,ISLAND,USD,Information Technology,Application Software,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,1751008
AVGO,Broadcom Inc.,NASDAQ,NASDAQ:AVGO,AVGO,STK,ISLAND,USD,Information Technology,Semiconductors,"S&P 500, NASDAQ 100",Tier 1 - S&P 500,1730168
